,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.00015397048844384957,0.4554 (92/202),0.4074 (22/54)
0,0.00015510940347573734,0.4554 (92/202),0.4074 (22/54)
0,0.00015625674302756378,0.4554 (92/202),0.4074 (22/54)
0,0.0001574125694152471,0.4554 (92/202),0.4074 (22/54)
0,0.00015857694541565487,0.4554 (92/202),0.4074 (22/54)
0,0.00015974993427001315,0.4554 (92/202),0.4074 (22/54)
0,0.0001609315996873412,0.4554 (92/202),0.4074 (22/54)
0,0.000162122005847912,0.4554 (92/202),0.4074 (22/54)
0,0.00016332121740673806,0.4554 (92/202),0.4074 (22/54)
0,0.00016452929949708329,0.4554 (92/202),0.4074 (22/54)
0,0.00016574631773400036,0.4554 (92/202),0.4074 (22/54)
0,0.0001669723382178942,0.4554 (92/202),0.4074 (22/54)
0,0.0001682074275381126,0.4554 (92/202),0.4074 (22/54)
0,0.00016945165277656253,0.4554 (92/202),0.4074 (22/54)
0,0.0001707050815113542,0.4554 (92/202),0.4074 (22/54)
0,0.00017196778182047097,0.4554 (92/202),0.4074 (22/54)
0,0.00017323982228546669,0.4554 (92/202),0.4074 (22/54)
0,0.000174521271995191,0.4554 (92/202),0.4074 (22/54)
0,0.0001758122005495416,0.4554 (92/202),0.4074 (22/54)
0,0.0001771126780632447,0.4554 (92/202),0.4074 (22/54)
0,0.0001784227751696632,0.4554 (92/202),0.4074 (22/54)
0,0.00017974256302463236,0.4554 (92/202),0.4074 (22/54)
0,0.0001810721133103252,0.4554 (92/202),0.4074 (22/54)
0,0.0001824114982391455,0.4554 (92/202),0.4074 (22/54)
0,0.0001837607905576502,0.4554 (92/202),0.4074 (22/54)
0,0.00018512006355050046,0.4554 (92/202),0.4074 (22/54)
0,0.00018648939104444143,0.4554 (92/202),0.4074 (22/54)
0,0.00018786884741231247,0.4554 (92/202),0.4074 (22/54)
0,0.00018925850757708711,0.4554 (92/202),0.4074 (22/54)
0,0.00019065844701594113,0.4554 (92/202),0.4074 (22/54)
0,0.0001920687417643534,0.4554 (92/202),0.4074 (22/54)
0,0.0001934894684202344,0.4554 (92/202),0.4074 (22/54)
0,0.00019492070414808696,0.4554 (92/202),0.4074 (22/54)
